kpi,b1,b2,b3,b4
average demand decrease,0.2063171065251456,1.4175257137630586,83.36255666814827,8.57234097519314
average demand decrease intensity,0.0042982730526072,0.0073829464258492,0.009807359608017444,0.0051557991262153
average demand decrease index,0.2047390880309277,1.0,0.5692255522474254,0.4513280752514865
average demand increase,0.1703897843080292,0.5733007705901098,44.80110787536509,3.7983611862325177
average demand increase intensity,0.0035497871730839,0.0029859415134901,0.005270718573572364,0.0022845086705835
average demand increase index,0.5429644343488776,1.8963099808423247,0.40354990593025075,0.2298168863297647
average power rebound,0.0279688056304041,-2.440660576420731,12.52516101847047,-3.160537552814373
average power rebound index,0.6417587450659444,-0.9600806227086904,0.49840297091103436,-0.0215166750021651
flexibility savings index,0.8951423750757193,31.413908171761552,4.043622391805524,16.16425816125827
energy savings of demand response,0.0467582656492234,12.814361826665952,148.65037947480346,57.12220936653257
net building consumption change percentage,-0.1626414819336203,-34.03630491040605,-5.825235124313852,-17.13784843408061
peak power reduction,-2.118111844566667,-0.6897510278517514,-21.908639280944328,-3.79653606909752
cumulative average thermal discomfort,4.989295350092675,7.412246804621304,0.3348783504040398,6.203526905354988
tdis_tot,2.7016402002965063,5.6151746165158025,0.3436505531576032,2.914707832308758
