kpi,b5,b6
average demand decrease,4.850194444444446,0.09145833333333332
average demand decrease intensity,0.007698721340388,0.0024612038033728022
average demand decrease index,0.2003506590352547,0.08032597202869407
average demand increase,-3.088888888888889,-0.14466111111111116
average demand increase intensity,-0.0049029982363315,-0.0038929254873818937
average demand increase index,-0.2016378652051032,-0.15747998161453414
average power rebound,-0.8520833333333337,0.21665833333333337
average power rebound index,0.0897769747290536,1.0082620247143677
tdis_tot,,
flexibility savings index,28.48710152012136,4.431215606232475
energy savings of demand response,65.5992962962963,-1.384473015873016
net building consumption change percentage,-23.978545253491365,12.947226291460998
peak power reduction,3.5360000000000014,0.14059047619047593
cumulative average thermal discomfort,1.5328347578347563,18.391666665000002
