time,ahu_reaPFanRet_y,ahu_reaPFanSup_y,reaPEle_y,reaPFan_y,reaPPum_y
1528410,0.3937315943453096,0.3677826866328189,248.28006168189307,0.7615142809781285,247.51854740091494
1528440,0.3165626667302722,0.29790888304043023,257.3615392979624,0.6144715497707025,256.7470677481917
1528470,0.2547185253382484,0.24133335868294786,267.0138200855127,0.49605188402119627,266.5177682014915
1528500,0.2047190426304363,0.1951587192698594,276.85553038788527,0.39987776190029567,276.45565262598495
1528530,0.16401620988884402,0.15723943914504107,286.44023629467847,0.3212556490338851,286.11898064564457
1528560,0.13071493508638532,0.12596309194277627,295.27102075897903,0.2566780270291616,295.01434273194985
1528590,0.1033841067862377,0.10010021435576062,302.83874188907635,0.20348432114199833,302.63525756793433
1528620,0.08092815408782562,0.07870112240180345,308.6721187414451,0.15962927648962907,308.5124894649555
1528650,0.06249781333787811,0.061023447323485205,312.38924440107894,0.12352126066136332,312.26572314041755
1528680,0.047426889465186785,0.04648022321134321,313.74236089120046,0.09390711267652999,313.64845377852396
1528710,0.03518656682861514,0.03460196118621431,312.64789723100284,0.06978852801482945,312.578108702988
1528740,0.025351696072023137,0.025008323577905386,309.19582995759583,0.05036001964992852,309.1454699379459
1528770,0.017575278744891988,0.017386382431633048,303.63595197085425,0.034961661176525036,303.60099030967774
1528800,0.011568521391458506,0.011473331600739036,296.34415265649756,0.02304185299219754,296.32111080350535
1528830,0.0070845193491586725,0.007042043547979255,287.77780061974295,0.014126562897137929,287.7636740568458
1528860,0.003904008981029909,0.0038881346436108375,278.4256174757749,0.007792143624640747,278.4178253321503
1528890,0.0018217146931882111,0.0018172251163938368,268.76611963687435,0.003638939809582048,268.76248069706475
1528920,0.0006320401561419626,0.0006312666219095869,259.2310970358161,0.0012633067780515495,259.22983372903803
1528950,0.00011224656153237447,0.0001122029891420244,250.17873586967127,0.00022444955067439887,250.1785114201206
1528980,7.483117718739842e-07,7.483014644824088e-07,241.8754734552831,1.4966132363563929e-06,241.87547195866986
1529010,4.795312041344666e-15,4.795312041115017e-15,234.4980066355057,9.590624082459682e-15,234.4980066355057
1529040,-1.2571653985427153e-19,-1.257165398581849e-19,228.1326656721276,-2.5143307971245644e-19,228.1326656721276
1529070,1.6683515617405257e-21,1.668351561530433e-21,222.79742613842586,3.3367031232709587e-21,222.79742613842586
1529100,-5.741985799559133e-26,-5.741985805285168e-26,218.45252229454346,-1.1483971604844302e-25,218.45252229454346
1529130,1.4163635821391184e-31,1.416363583653247e-31,215.01481417558318,2.832727165792365e-31,215.01481417558318
1529160,-2.0796372478997362e-36,-2.079637251272307e-36,212.36982519887204,-4.159274499172043e-36,212.36982519887204
1529190,8.334347373865028e-38,8.334347384907619e-38,210.39382968543657,1.6668694758772648e-37,210.39382968543657
1529220,-4.5376574391883516e-39,-4.53765744551233e-39,208.9627074689381,-9.075314884700682e-39,208.9627074689381
1529250,5.079718845855267e-41,5.079718854959198e-41,207.9609714568917,1.0159437700814465e-40,207.9609714568917
1529280,-1.6441327935755754e-40,-1.6441327951860807e-40,207.28849953452752,-3.2882655887616563e-40,207.28849953452752
1529310,-2.8661530003009626e-40,-2.8661530044933255e-40,206.86437908717653,-5.732306004794288e-40,206.86437908717653
1529340,-3.0570755538487167e-41,-3.057075558179438e-41,206.62906733895625,-6.114151112028155e-41,206.62906733895625
1529370,-3.579199954893923e-44,-3.5791999559001544e-44,206.54518002346114,-7.158399910794077e-44,206.54518002346114
1529400,2.4093485319941874e-46,2.409348537540313e-46,206.59736969623495,4.8186970695345e-46,206.59736969623495
1529430,-1.7811420209230183e-45,-1.7811420248538515e-45,206.79152873954808,-3.5622840457768695e-45,206.79152873954808
1529460,-3.1850991237891684e-47,-3.18509912904329e-47,207.15348694459968,-6.370198252832459e-47,207.15348694459968
1529490,5.552881309060807e-47,5.552881320971969e-47,207.72722640530566,1.1105762630032776e-46,207.72722640530566
1529520,3.214284156815728e-49,3.2142841611768752e-49,208.57249400851936,6.428568317992603e-49,208.57249400851936
1529550,-8.178371765576805e-49,-8.17837178429134e-49,209.76162141535497,-1.6356743549868142e-48,209.76162141535497
1529580,1.812364842614136e-55,1.8123648708616964e-55,211.3753314449273,3.624729713475832e-55,211.3753314449273
1529610,1.8238795943102315e-50,1.8238795984992873e-50,213.49733558031863,3.647759192809519e-50,213.49733558031863
1529640,-4.558297273890629e-53,-4.558297285940673e-53,216.2076140692181,-9.116594559831301e-53,216.2076140692181
1529670,-2.7560356360402655e-52,-2.756035642644725e-52,219.57443952463663,-5.512071278684991e-52,219.57443952463663
1529700,8.272673785371011e-54,8.272673805407438e-54,223.64563468648913,1.654534759077845e-53,223.64563468648913
1529730,-1.0360080904183653e-54,-1.0360080927371057e-54,228.44211724036217,-2.072016183155471e-54,228.44211724036217
1529760,1.5872004771259658e-60,1.5872004631490715e-60,233.9478822142415,3.1744009402750375e-60,233.9478822142415
1529790,-1.2242068032609742e-59,-1.2242068043298408e-59,240.09804278125463,-2.4484136075908147e-59,240.09804278125463
1529820,8.470355698548808e-61,8.47035570861129e-61,246.77626937789378,1.6940711407160097e-60,246.77626937789378
1529850,1.4158489265316362e-63,1.4158489266096165e-63,253.8167378295347,2.8316978531412527e-63,253.8167378295347
1529880,-9.38337932256601e-66,-9.383379356930625e-66,261.0060317711193,-1.8766758679496635e-65,261.0060317711193
1529910,1.2085561011482449e-69,1.2085561005581796e-69,268.0892943496088,2.417112201706424e-69,268.0892943496088
1529940,2.7419243713355166e-72,2.7419243748799423e-72,274.78259162396625,5.483848746215459e-72,274.78259162396625
1529970,3.411346711658698e-76,3.411346724734743e-76,280.7906106982139,6.822693436393442e-76,280.7906106982139
