time,hvac_reaAhu_PFanSup_y,hvac_reaAhu_PPumCoo_y,hvac_reaAhu_PPumHea_y,heaPum_reaPHeaPum_y,heaPum_reaPPumDis_y,chi_reaPChi_y,chi_reaPPumDis_y
1970-01-31 03:20:30,3440.116623612631,0.0,29.361474983889103,62232.41473368775,105.36511097237612,0.2957751198986599,0.002211891857054836
1970-01-31 03:21:00,3333.8843835683388,0.0,29.361474983886307,67133.10818141077,120.56487525461317,0.2957736812256208,0.002211891857054836
1970-01-31 03:21:30,3229.451367004156,0.0,29.361474983886197,70263.97527137617,136.22298227612126,0.29577224237748306,0.002211891857054836
1970-01-31 03:22:00,3126.8519160903306,0.0,29.361474983886243,71422.299652902,152.1487991620166,0.29577080335425704,0.002211891857054836
1970-01-31 03:22:30,3026.0894965173206,0.0,29.361474983886197,70679.75356232429,168.25957059543677,0.29576936415595584,0.002211891857054836
1970-01-31 03:23:00,2927.159291849259,0.0,29.36147498388623,68312.44471887161,184.54400757279473,0.29576792478259545,0.002211891857054836
1970-01-31 03:23:30,2830.054144643044,0.0,29.36147498388623,64709.03229023803,201.01534678101493,0.2957664852341863,0.002211891857054836
1970-01-31 03:24:00,2734.766236065947,0.0,29.36147498388623,60278.010896624255,217.6641093889951,0.29576504551074273,0.002211891857054836
1970-01-31 03:24:30,2641.287652939069,0.0,29.36147498388623,55411.191901522325,234.44525648340758,0.29576360561227694,0.002211891857054836
1970-01-31 03:25:00,2549.6105561708973,0.0,29.36147498388623,50439.24525593519,251.26754362054032,0.2957621655388045,0.002211891857054836
1970-01-31 03:25:30,2459.7272893498357,0.0,29.36147498388623,45625.40032376102,268.0089877852727,0.2957607252903359,0.002211891857054836
1970-01-31 03:26:00,2371.6304394965214,0.0,29.36147498388623,41157.30595843875,284.5325423616403,0.2957592848668844,0.002211891857054836
1970-01-31 03:26:30,2285.312947441491,0.0,29.36147498388623,37153.863207065,300.7022686889283,0.29575784426846463,0.002211891857054836
1970-01-31 03:27:00,2200.768198832968,0.0,29.361474983886197,33670.47558093736,316.3923647036599,0.2957564034950896,0.002211891857054836
1970-01-31 03:27:30,2117.990727594552,0.0,29.36147498388623,30714.300417792332,331.4927798797456,0.2957549625461541,0.002211891857054836
1970-01-31 03:28:00,2036.9744899179493,0.0,29.36147498388623,28248.973589737023,345.91595752759133,0.29575352142288114,0.002211891857054836
1970-01-31 03:28:30,1957.7145324985693,0.0,29.36147498388623,26232.38231814489,359.5900725143122,0.2957520801247177,0.002211891857054836
1970-01-31 03:29:00,1880.207394740512,0.0,29.36147498388623,24597.24365897228,372.46584313498226,0.29575063865165163,0.002211891857054836
1970-01-31 03:29:30,1804.4505306241565,0.0,29.36147498388623,23277.88959360547,384.51226370530486,0.2957491970036953,0.002211891857054836
1970-01-31 03:30:00,1730.4426032405138,0.0,29.36147498388623,22213.790390699414,395.71535694674907,0.2957477551808627,0.002211891857054836
