time,oveTSet_u,reaTZon_y
1970-01-24 06:58:00,294.35,294.46691914812175
1970-01-24 06:58:30,294.35,294.46548969467904
1970-01-24 06:59:00,294.35,294.46407038233326
1970-01-24 06:59:30,294.35,294.4626615438879
1970-01-24 07:00:00,294.35,294.4612635133684
1970-01-24 07:00:30,293.65,294.45603480440576
1970-01-24 07:01:00,293.65,294.4510783679042
1970-01-24 07:01:30,293.65,294.4463841791276
1970-01-24 07:02:00,293.65,294.4419247088223
1970-01-24 07:02:30,293.65,294.43767250819906
1970-01-24 07:03:00,293.65,294.4336029510247
1970-01-24 07:03:30,293.65,294.42969430540677
1970-01-24 07:04:00,293.65,294.4259273798484
1970-01-24 07:04:30,293.65,294.4222851408712
1970-01-24 07:05:00,293.65,294.41875239631514
1970-01-24 07:05:30,293.65,294.4153155477877
1970-01-24 07:06:00,293.65,294.4119623958619
1970-01-24 07:06:30,293.65,294.40868198224507
1970-01-24 07:07:00,293.65,294.4054644577618
1970-01-24 07:07:30,293.65,294.40230096902445
1970-01-24 07:08:00,293.65,294.39918355935276
1970-01-24 07:08:30,293.65,294.3961050811135
1970-01-24 07:09:00,293.65,294.39305911757845
1970-01-24 07:09:30,293.65,294.3900399129276
1970-01-24 07:10:00,293.65,294.3870423093431
1970-01-24 07:10:30,293.65,294.3840616903379
1970-01-24 07:11:00,293.65,294.3810939296076
1970-01-24 07:11:30,293.65,294.3781353447947
1970-01-24 07:12:00,293.65,294.3751826556414
1970-01-24 07:12:30,293.65,294.372232946071
1970-01-24 07:13:00,293.65,294.3692836297985
1970-01-24 07:13:30,293.65,294.3663324191178
1970-01-24 07:14:00,293.65,294.3633772965519
1970-01-24 07:14:30,293.65,294.3604164890918
1970-01-24 07:15:00,293.65,294.3574484447758
1970-01-24 07:15:30,293.65,294.35447181139057
1970-01-24 07:16:00,293.65,294.3514854170961
1970-01-24 07:16:30,293.65,294.34848825279744
1970-01-24 07:17:00,293.65,294.3454794561041
1970-01-24 07:17:30,293.65,294.3424582967332
1970-01-24 07:18:00,293.65,294.33942416322566
1970-01-24 07:18:30,293.65,294.3363765508584
1970-01-24 07:19:00,293.65,294.3333150506454
1970-01-24 07:19:30,293.65,294.3302393393306
1970-01-24 07:20:00,293.65,294.3271491702852
1970-01-24 07:20:30,293.65,294.32404436522836
1970-01-24 07:21:00,293.65,294.32092480669894
1970-01-24 07:21:30,293.65,294.3177904312124
1970-01-24 07:22:00,293.65,294.3146412230421
1970-01-24 07:22:30,293.65,294.31147720856853
1970-01-24 07:23:00,293.65,294.3082984511494
1970-01-24 07:23:30,293.65,294.3051050464615
1970-01-24 07:24:00,293.65,294.30189711827506
1970-01-24 07:24:30,293.65,294.29867481462065
1970-01-24 07:25:00,293.65,294.29543830431555
1970-01-24 07:25:30,293.65,294.2921877738165
1970-01-24 07:26:00,293.65,294.28892342437047
1970-01-24 07:26:30,293.65,294.2856454694374
1970-01-24 07:27:00,293.65,294.28235413235984
1970-01-24 07:27:30,293.65,294.2790496442585
1970-01-24 07:28:00,293.65,294.275732242133
1970-01-24 07:28:30,293.65,294.27240216714955
